cod;nome;período;valor
3154200;"Resende Costa";2000;0
3154002;"Raul Soares";2000;0
3153806;Queluzito;2000;0
3153707;"Quartel Geral";2000;0
3153608;"Prudente de Morais";2000;0
3153301;"Presidente Kubitschek";2000;0
3153202;"Presidente Juscelino";2000;0
3153103;"Presidente Bernardes";2000;0
3153004;Pratinha;2000;0
3152907;Pratápolis;2000;0
3152808;Prata;2000;0
3152709;Prados;2000;0
3152600;"Pouso Alto";2000;0
3152402;Poté;2000;0
3151701;"Poço Fundo";2000;0
3151602;Planura;2000;0
3151503;Piumhi;2000;0
3151305;Piraúba;2000;0
3150604;Piracema;2000;0
3150570;Pintópolis;2000;0
3150539;Pingo-d'Água;2000;0
3150406;"Piedade dos Gerais";2000;0
3150307;"Piedade do Rio Grande";2000;0
3150208;"Piedade de Ponte Nova";2000;0
3150109;Piau;2000;0
3148202;"Patrocínio do Muriaé";2000;0
3147600;"Passa Quatro";2000;0
3147501;Passabém;2000;0
3147402;Paraopeba;2000;0
3147303;Paraisópolis;2000;0
3147204;Paraguaçu;2000;0
3146750;Palmópolis;2000;0
3146701;Palma;2000;0
3146602;Paiva;2000;0
3146552;"Pai Pedro";2000;0
3146503;Pains;2000;0
3146404;Paineiras;2000;0
3146305;"Padre Paraíso";2000;0
3146255;"Padre Carvalho";2000;0
3140159;"Mário Campos";2000;0
3139904;"Maria da Fé";2000;0
3139706;Maravilhas;2000;0
3139508;Manhumirim;2000;0
3139250;Mamonas;2000;0
3139102;"Madre de Deus de Minas";2000;0
3138906;Machacalis;2000;0
3138807;Luz;2000;0
3138682;Luislândia;2000;0
3138674;Luisburgo;2000;0
3138658;Lontra;2000;0
3138625;"Limeira do Oeste";2000;0
3138500;Liberdade;2000;0
3136108;Joanésia;2000;0
3136009;Joaíma;2000;0
3135902;Jesuânia;2000;0
3135803;Jequitinhonha;2000;0
3135704;Jequitibá;2000;0
3134806;Jacuí;2000;0
3134707;Jacinto;2000;0
3134509;Itutinga;2000;0
3134400;Iturama;2000;0
3134301;Itumirim;2000;0
3134103;Itueta;2000;0
3133501;Itapecerica;2000;0
3133204;Itanhomi;2000;0
3132909;Itamogi;2000;0
3132800;"Itambé do Mato Dentro";2000;0
3132701;Itambacuri;2000;0
3129301;Iapu;2000;0
3129202;Heliodora;2000;0
3129103;Gurinhatã;2000;0
3129004;Guiricema;2000;0
3128907;Guimarânia;2000;0
3128303;Guaranésia;2000;0
3128253;Guaraciama;2000;0
3128204;Guaraciaba;2000;0
3127909;Grupiara;2000;0
3127602;Gouveia;2000;0
3127503;Gonzaga;2000;0
3127388;Goianá;2000;0
3127057;"Fronteira dos Vales";2000;0
3125101;Extrema;2000;0
3125002;"Ewbank da Câmara";2000;0
3124807;"Estrela do Sul";2000;0
3124708;"Estrela do Indaiá";2000;0
3124609;"Estrela Dalva";2000;0
3124401;"Espírito Santo do Dourado";2000;0
3123809;"Engenheiro Navarro";2000;0
3123700;"Engenheiro Caldas";2000;0
3123528;Durandé;2000;0
3123502;Douradoquara;2000;0
3123403;Doresópolis;2000;0
3123304;"Dores do Turvo";2000;0
3123205;"Dores do Indaiá";2000;0
3123106;"Dores de Guanhães";2000;0
3123007;"Dores de Campos";2000;0
3122900;"Dona Eusébia";2000;0
3122801;"Dom Viçoso";2000;0
3122702;"Dom Silvério";2000;0
3122603;"Dom Joaquim";2000;0
3122470;"Dom Bosco";2000;0
3122454;Divisópolis;2000;0
3122405;"Divisa Nova";2000;0
3118205;Conquista;2000;0
3118106;"Congonhas do Norte";2000;0
3117900;Congonhal;2000;0
3117876;Confins;2000;0
3117801;"Conceição dos Ouros";2000;0
3117702;"Conceição do Rio Verde";2000;0
3117603;"Conceição do Pará";2000;0
3117405;"Conceição de Ipanema";2000;0
3117306;"Conceição das Alagoas";2000;0
3117207;"Conceição das Pedras";2000;0
3117009;Comercinho;2000;0
3116902;"Comendador Gomes";2000;0
3116803;Coluna;2000;0
3116704;Coimbra;2000;0
3116605;Cláudio;2000;0
3116506;"Claro dos Poções";2000;0
3116407;Claraval;2000;0
3116159;"Chapada Gaúcha";2000;0
3116100;"Chapada do Norte";2000;0
3110707;Cambuquira;2000;0
3110608;Cambuí;2000;0
3110400;Camacho;2000;0
3110301;Caldas;2000;0
3110202;Cajuri;2000;0
3110103;Caiana;2000;0
3109907;Caetanópolis;2000;0
3109600;"Cachoeira da Prata";2000;0
3109501;"Cabo Verde";2000;0
3108107;Bonfim;2000;0
3108008;"Bom Sucesso";2000;0
3107901;"Bom Repouso";2000;0
3103306;Aracitaba;2000;0
3103207;Araçaí;2000;0
2922730;"Nova Fátima";2000;0
2922706;"Nova Canaã";2000;0
2922656;Nordestina;2000;0
2922607;"Nilo Peçanha";2000;0
2922250;"Muquém de São Francisco";2000;0
2922102;"Mundo Novo";2000;0
2921906;Mucugê;2000;0
